Working_Year,Designation,Experience,Employment_Status,Employee_Location,Company_Size,Remote_Working_Ratio,Salary_USD
2020.0,Data Scientist,MI,FT,DE,L,0,70000.0
2020.0,Data Engineer,MI,FT,AT,L,50,65000.0
2020.0,Data Engineer,MI,FT,FR,L,50,61500.0
2020.0,Staff Data Analyst,EN,CT,CA,L,50,60000.0
2020.0,Sales Data Analyst,MI,CT,NG,M,0,60000.0
2020.0,Data Scientist,SE,FT,GR,L,100,60000.0
2020.0,Data Scientist,MI,FT,GB,S,100,60000.0
2020.0,Computer Vision Engineer,SE,FL,RU,S,100,60000.0
2020.0,Lead Data Engineer,MI,FT,PT,M,100,56000.0
2020.0,Data Scientist,EN,FT,DE,S,50,55000.0
2020.0,Data Engineer,MI,FT,DE,S,100,51999.0
2020.0,Data Scientist,MI,FT,HU,L,50,36300.0
2020.0,ML Engineer,EN,PT,DE,S,100,14000.0
2020.0,Data Scientist,EN,FT,DE,S,50,4991076.0
2020.0,Computer Vision Engineer,SE,FL,RU,S,100,4774170.0
2020.0,Big Data Engineer,SE,FT,GB,M,50,8674985.0
2020.0,Data Scientist,SE,FT,US,L,50,9548340.0
2020.0,Data Scientist,EN,FT,US,S,100,8354798.0
2020.0,Machine Learning Engineer,EN,FT,US,S,100,10980591.0
2020.0,Data Analyst,EN,FT,NG,S,100,795695.0
2020.0,Research Scientist,EN,FT,NL,L,50,3341919.0
2020.0,Machine Learning Engineer,MI,FT,CN,M,0,3447826.0
2020.0,Data Engineer,MI,FT,GB,L,50,8981169.0
2020.0,Lead Data Engineer,SE,FT,NZ,S,50,9946188.0
2020.0,Data Scientist,MI,FT,ES,M,100,3085387.0
2020.0,Data Scientist,EN,FT,FR,S,0,4083586.0
2020.0,Data Scientist,MI,FT,IN,L,0,3221053.0
2020.0,Machine Learning Engineer,SE,FT,US,L,50,11935425.0
2020.0,Data Scientist,MI,FT,US,M,100,9389201.0
2020.0,Data Scientist,EN,FT,FR,M,0,3176096.0
2020.0,Data Scientist,SE,FT,US,L,100,32782634.0
2020.0,Director of Data Science,EX,FT,US,L,100,25860088.0
2020.0,Business Data Analyst,MI,FT,US,L,100,10741883.0
2020.0,Data Analyst,EN,FT,US,L,100,5729004.0
2020.0,Data Engineer,MI,FT,US,L,100,8752645.0
2020.0,Machine Learning Scientist,SE,FT,JP,S,0,20688070.0
2020.0,Data Science Consultant,EN,FT,IN,M,50,454103.0
2020.0,Machine Learning Engineer,EN,FT,US,L,50,19892375.0
2020.0,Data Engineer,SE,FT,US,L,100,14959066.0
2020.0,Data Scientist,MI,FT,HU,L,50,2843416.0
2020.0,Data Engineer,EN,FT,PK,L,100,4355794.0
2020.0,Data Engineer,SE,FT,GR,L,50,3811299.0
2020.0,BI Data Analyst,MI,FT,US,M,0,7797811.0
2020.0,Data Science Consultant,MI,FT,US,L,100,8195659.0
2020.0,Lead Data Scientist,MI,FT,AE,L,0,9150493.0
2020.0,Data Analyst,EN,FT,US,L,100,7240825.0
2020.0,Lead Data Scientist,SE,FT,US,S,100,15118205.0
2020.0,Data Engineer,MI,FT,US,L,100,8434367.0
2020.0,Lead Data Engineer,MI,FT,PT,M,100,4455892.0
2020.0,Principal Data Scientist,SE,FT,DE,M,100,11797054.0
2020.0,Data Scientist,MI,FT,US,M,100,11008440.0
2020.0,Data Engineer,SE,FT,MX,S,0,2666454.0
2020.0,ML Engineer,EN,PT,DE,S,100,1270407.0
2020.0,Product Data Analyst,MI,FT,HN,S,0,1591390.0
2020.0,Data Engineering Manager,EX,FT,ES,L,50,6352272.0
2020.0,Product Data Analyst,MI,FT,IN,L,100,483146.0
2020.0,Data Science Manager,SE,FT,US,M,100,15134119.0
2020.0,AI Scientist,EN,FT,DK,S,50,3651922.0
2020.0,Machine Learning Infrastructure Engineer,MI,FT,PT,M,0,3992798.0
2020.0,Data Engineering Manager,MI,FT,DE,S,100,4718710.0
2020.0,Big Data Engineer,EN,FT,US,L,100,5569865.0
2020.0,Data Scientist,MI,FT,US,L,100,8354798.0
2020.0,Data Scientist,MI,FT,GB,S,100,6123510.0
2020.0,Lead Data Analyst,MI,FT,US,L,100,6922547.0
2020.0,Data Engineer,MI,FT,FR,L,50,5580925.0
2020.0,Data Engineer,MI,FT,ES,M,100,10407691.0
2020.0,Data Scientist,MI,FT,FR,S,50,4991076.0
2020.0,Data Engineer,EN,FT,JP,S,100,3317173.0
2020.0,Business Data Analyst,EN,CT,US,L,100,7956950.0
2020.0,Data Analyst,EN,FT,IN,S,0,483146.0
2020.0,Machine Learning Manager,SE,FT,CA,L,50,9317907.0
2020.0,Data Scientist,MI,FT,FR,S,50,3357594.0
2020.0,Data Scientist,MI,FT,PH,S,100,3641100.0
2020.0,Data Engineer,MI,FT,AT,L,50,5898487.0
2020.0,Data Scientist,SE,FT,GR,L,100,5444782.0
2020.0,Research Scientist,MI,FT,US,M,0,35806275.0
2020.0,Data Analyst,MI,FT,US,L,100,6763408.0
2020.0,Machine Learning Engineer,SE,FT,HR,S,100,3629801.0
2020.0,Data Analyst,MI,FT,PK,L,50,636556.0
2020.0,Big Data Engineer,SE,FT,PL,S,100,9074663.0
2020.0,Data Scientist,EN,PT,IT,S,50,1724191.0
2020.0,Data Analyst,MI,FT,FR,L,50,3720590.0
2020.0,Data Scientist,SE,FT,AT,S,0,7259682.0
2020.0,Data Scientist,EN,FT,DE,S,0,3920230.0
2021.0,Research Scientist,EN,FT,GB,L,50,6566712.0
2021.0,Data Scientist,MI,FT,DE,L,50,76760.0
2021.0,Machine Learning Engineer,EN,FT,DE,M,50,21000.0
2021.0,Big Data Engineer,MI,FT,MD,S,0,18000.0
2021.0,Machine Learning Engineer,SE,FT,IN,L,0,63700.0
2021.0,Data Scientist,EN,FT,US,L,50,58000.0
2021.0,BI Data Analyst,EX,FT,IN,L,100,11935425.0
2021.0,Machine Learning Engineer,MI,FT,SI,L,50,21000.0
2021.0,Data Scientist,SE,FT,IN,L,100,52000.0
2021.0,Data Science Manager,SE,FT,IN,L,50,52000.0
2021.0,Lead Data Scientist,SE,FT,IN,L,50,39000.0
2021.0,Machine Learning Research Engineer,EN,FT,FR,M,50,20000.0
2021.0,Data Analyst,MI,FT,IN,L,50,16250.0
2021.0,Data Architect,MI,FT,US,L,100,170000.0
2021.0,Staff Data Scientist,SE,CT,US,M,100,105000.0
2021.0,Lead Data Analyst,MI,FT,IN,L,100,18850.0
2021.0,Machine Learning Developer,EN,FT,TH,L,100,15000.0
2021.0,Data Engineer,EN,FT,IN,M,50,20800.0
2021.0,Big Data Engineer,MI,FT,IN,L,0,21736.0
2021.0,Machine Learning Engineer,EN,FT,IN,S,100,20000.0
2021.0,Machine Learning Engineer,SE,FT,IN,L,100,23399.961
2021.0,Principal Data Analyst,SE,FT,US,M,100,170000.0
2021.0,Data Engineer,MI,FL,IT,L,0,20000.0
2021.0,Data Scientist,EN,FT,IN,M,100,27300.0
2021.0,AI Scientist,EN,FT,IN,S,100,17355.0
2021.0,Data Scientist,EN,FT,IN,L,50,28600.0
2021.0,Data Scientist,MI,FT,IN,S,100,16250.0
2021.0,Big Data Engineer,EN,FT,IN,L,100,15600.0
2021.0,Data Engineer,EN,FT,IN,L,100,29250.0
2021.0,Data Scientist,MI,FT,DE,L,50,76760.0
2021.0,Lead Data Analyst,SE,FT,US,L,100,170000.0
2021.0,Data Scientist,MI,FT,IN,M,0,32500.0
2021.0,Lead Data Engineer,SE,FT,US,L,0,276000.0
2021.0,Data Engineer,MI,FT,HK,S,50,48000.0
2021.0,ML Engineer,MI,FT,JP,S,50,64400.0
2021.0,Data Engineer,EN,FT,US,L,100,72500.0
2021.0,Machine Learning Infrastructure Engineer,SE,FT,US,M,100,195000.0
2021.0,Data Engineer,MI,FT,US,M,0,111775.0
2021.0,Data Engineer,MI,FT,US,L,100,112000.0
2021.0,Data Scientist,SE,FT,FR,L,50,4232461.0
2021.0,Data Engineer,MI,FT,TR,M,100,250000.0
2021.0,Data Analyst,MI,FT,US,L,0,62000.0
2021.0,Director of Data Science,EX,FT,US,L,0,250000.0
2021.0,Cloud Data Architect,SE,FT,US,L,50,250000.0
2021.0,Data Analyst,SE,FT,US,S,100,115000.0
2021.0,Data Scientist,MI,FT,US,L,0,73000.0
2021.0,Data Scientist,EN,FT,US,M,100,100000.0
2021.0,BI Data Analyst,MI,FT,US,M,100,100000.0
2021.0,Data Engineer,MI,FT,US,L,100,100000.0
2021.0,Machine Learning Developer,EN,FT,IQ,S,50,100000.0
2021.0,Data Scientist,EN,FT,US,S,0,100000.0
2021.0,Data Engineer,SE,FT,RO,S,50,65000.0
2021.0,Data Science Consultant,EN,FT,DE,L,0,65000.0
2021.0,Data Science Consultant,EN,FT,DE,S,100,65000.0
2021.0,Machine Learning Engineer,EN,FT,US,S,100,125000.0
2021.0,Big Data Architect,SE,FT,CA,M,50,125000.0
2021.0,Data Science Manager,SE,FT,US,L,100,144000.0
2021.0,Research Scientist,EN,FT,JE,L,0,100000.0
2021.0,Computer Vision Engineer,SE,FT,BR,M,0,102000.0
2021.0,Machine Learning Engineer,MI,FT,JP,S,50,74000.0
2021.0,Data Analyst,MI,FT,US,L,0,75000.0
2021.0,ML Engineer,MI,FT,JP,S,50,78200.0
2021.0,Head of Data,EX,FT,US,L,100,18698833.0
2021.0,BI Data Analyst,MI,FT,HU,L,50,36300.0
2021.0,Data Scientist,MI,FT,CL,L,100,39520.0
2021.0,Data Analyst,MI,FT,US,L,100,93000.0
2021.0,Data Science Consultant,EX,FT,FR,S,100,59000.0
2021.0,Data Engineer,MI,PT,NL,L,100,59000.0
2021.0,Principal Data Scientist,SE,FT,US,L,0,220000.0
2021.0,Data Engineer,MI,FT,US,M,0,93150.0
2021.0,Research Scientist,EN,FT,GB,L,50,60000.0
2021.0,Data Analyst,EN,FT,US,S,100,60000.0
2021.0,Data Engineer,MI,FT,GB,L,100,60000.0
2021.0,Big Data Engineer,MI,FT,ES,M,50,60000.0
2021.0,Data Scientist,MI,FT,RS,S,100,21600.0
2021.0,Data Analyst,MI,FT,US,L,100,135000.0
2021.0,Data Scientist,SE,FT,US,L,0,135000.0
2021.0,ML Engineer,MI,CT,US,L,100,270000.0
2021.0,Data Scientist,MI,FT,CA,L,100,95000.0
2021.0,Marketing Data Analyst,SE,FT,GR,L,100,75000.0
2021.0,Machine Learning Developer,SE,FL,NG,M,100,60000.0
2021.0,Lead Data Engineer,SE,FT,GB,S,100,75000.0
2021.0,Machine Learning Engineer,MI,FT,BE,M,100,75000.0
2021.0,Data Scientist,MI,FT,DE,L,50,75000.0
2021.0,Data Science Manager,SE,FT,IN,L,50,91000.0
2021.0,Machine Learning Engineer,EN,FT,CO,M,50,21844.0
2021.0,BI Data Analyst,MI,FT,US,M,100,7956950.0
2021.0,Business Data Analyst,MI,PT,GH,M,100,56000.0
2021.0,Data Scientist,EN,FT,FR,M,50,42000.0
2021.0,Data Scientist,MI,FT,GB,L,50,40900.0
2021.0,Data Engineer,SE,FT,US,L,0,150000.0
2021.0,Data Scientist,SE,FT,US,L,100,165000.0
2021.0,Data Architect,MI,FT,US,L,100,150000.0
2021.0,Data Scientist,MI,FT,US,M,100,150000.0
2021.0,BI Data Analyst,EX,FT,IN,L,100,150000.0
2021.0,Data Engineer,SE,FT,US,M,100,150000.0
2021.0,Data Engineer,SE,FT,US,L,100,153000.0
2021.0,Data Engineer,SE,FT,US,L,100,150000.0
2021.0,Data Engineer,SE,FT,US,M,0,165000.0
2021.0,Data Specialist,SE,FT,US,L,100,165000.0
2021.0,Principal Data Engineer,SE,FT,US,M,100,200000.0
2021.0,Data Engineer,MI,FT,US,L,100,200000.0
2021.0,Data Engineer,MI,FT,US,L,100,200000.0
2021.0,Principal Data Scientist,SE,FT,US,L,100,235000.0
2021.0,Research Scientist,MI,FT,CA,L,100,235000.0
2021.0,Head of Data,EX,FT,US,L,100,235000.0
2021.0,Machine Learning Engineer,MI,FT,ES,S,100,40000.0
2021.0,Data Scientist,MI,FT,ES,M,100,39600.0
2021.0,Applied Machine Learning Scientist,MI,FT,VN,M,100,38400.0
2021.0,Data Engineer,MI,FT,NL,L,100,38400.0
2021.0,Data Analyst,SE,FT,US,L,100,200000.0
2021.0,Data Engineer,SE,FT,US,L,100,200000.0
2021.0,Machine Learning Engineer,SE,FT,US,L,50,185000.0
2021.0,Staff Machine Learning Engineer,SE,FT,US,M,50,185000.0
2021.0,Data Science Lead,MI,FT,US,M,100,150000.0
2021.0,Machine Learning Engineer,MI,FT,IT,L,50,43200.0
2021.0,Data Analyst,SE,FT,PH,S,100,50000.0
2021.0,Data Scientist,SE,FT,CA,S,100,110000.0
2021.0,Data Engineer,MI,FT,US,L,100,110000.0
2021.0,Head of Data Science,MI,FT,US,S,0,110000.0
2021.0,Data Engineer,SE,FT,GB,M,100,82500.0
2021.0,Data Scientist,MI,FT,US,S,100,82500.0
2021.0,Data Analytics Engineer,MI,FT,US,L,100,110000.0
2021.0,Autonomous Vehicle Technician,MI,FL,AS,M,50,45555.0
2021.0,Data Engineer,MI,FT,PL,L,100,110000.0
2021.0,Data Scientist,MI,FT,US,L,50,109000.0
2021.0,Director of Data Science,EX,FT,DE,M,50,110000.0
2021.0,Data Analytics Manager,SE,FT,US,L,100,140000.0
2021.0,Data Engineer,MI,FT,US,L,100,140000.0
2021.0,Machine Learning Engineer,SE,FT,US,L,100,200000.0
2021.0,Head of Data,EX,FT,RU,L,50,230000.0
2021.0,Research Scientist,SE,FT,FR,S,100,50000.0
2021.0,Data Analytics Engineer,SE,FT,VN,M,100,50000.0
2021.0,Data Analyst,EN,FT,FR,M,50,50000.0
2021.0,Data Scientist,MI,FT,NG,L,100,50000.0
2021.0,Data Analyst,EN,FT,US,M,100,50000.0
2021.0,Data Scientist,MI,FT,GB,L,50,85000.0
2021.0,Machine Learning Engineer,EN,FT,NL,S,100,85000.0
2021.0,Head of Data Science,EX,FT,RU,M,0,85000.0
2021.0,Computer Vision Software Engineer,MI,FT,DE,S,100,81000.0
2021.0,Machine Learning Engineer,EN,FT,US,S,50,81000.0
2021.0,Data Scientist,SE,FT,FR,L,50,45000.0
2021.0,Finance Data Analyst,SE,FT,GB,L,50,45000.0
2021.0,Business Data Analyst,EN,FT,LU,L,100,50000.0
2021.0,Principal Data Engineer,SE,FT,US,L,100,185000.0
2021.0,Data Analytics Manager,SE,FT,US,L,0,120000.0
2021.0,Director of Data Science,EX,FT,DE,L,0,120000.0
2021.0,Data Science Consultant,EN,FT,DE,L,50,54000.0
2021.0,Data Science Engineer,MI,FT,GR,M,100,34000.0
2021.0,Data Engineer,EN,FT,DE,M,50,55000.0
2021.0,AI Scientist,SE,FT,ES,L,100,55000.0
2021.0,BI Data Analyst,EN,FT,US,S,50,55000.0
2021.0,Data Engineer,EN,FT,GB,L,50,33000.0
2021.0,Data Scientist,EN,FT,US,M,100,80000.0
2021.0,Data Scientist,MI,FT,ES,L,100,32000.0
2021.0,Applied Data Scientist,EN,FT,GB,L,0,80000.0
2021.0,Data Engineer,EN,FT,US,L,100,80000.0
2021.0,Data Scientist,EN,FT,FR,L,50,31000.0
2021.0,Data Analyst,SE,FT,BG,S,100,80000.0
2021.0,Data Analyst,SE,FT,DE,L,50,54000.0
2021.0,Data Analyst,EN,FT,US,M,100,80000.0
2021.0,Data Engineer,MI,FT,AU,L,50,100000.0
2021.0,Research Scientist,MI,FT,CA,M,100,80000.0
2021.0,Principal Data Scientist,EX,CT,US,S,100,416000.0
2021.0,AI Scientist,MI,FT,GH,S,0,30000.0
2021.0,Principal Data Scientist,MI,FT,US,L,100,151000.0
2021.0,Applied Machine Learning Scientist,MI,FT,US,L,50,423000.0
2021.0,Data Scientist,MI,FT,US,L,50,147000.0
2021.0,Principal Data Scientist,SE,FT,DE,M,100,147000.0
2021.0,Data Science Manager,SE,FT,US,L,0,240000.0
2021.0,Data Analyst,EN,FT,AU,L,50,56000.0
2021.0,Computer Vision Engineer,SE,FT,BR,M,100,24000.0
2021.0,Data Engineer,MI,FT,MT,L,50,24000.0
2021.0,Machine Learning Engineer,SE,FT,DE,L,50,80000.0
2021.0,Data Engineer,MI,FT,RO,L,0,22000.0
2021.0,Director of Data Science,EX,FT,IT,L,100,130000.0
2021.0,Data Scientist,MI,FT,US,L,50,130000.0
2021.0,Cloud Data Engineer,MI,FT,SG,L,50,120000.0
2021.0,Data Analytics Manager,SE,FT,US,M,100,120000.0
2021.0,Head of Data,SE,FT,SI,L,100,87000.0
2021.0,Research Scientist,SE,FT,PT,L,50,51400.0
2021.0,Data Analyst,MI,FT,GB,L,50,37456.0
2021.0,Machine Learning Scientist,SE,FT,US,S,50,120000.0
2021.0,Machine Learning Scientist,EN,FT,US,L,100,225000.0
2021.0,Machine Learning Scientist,SE,FT,US,L,100,225000.0
2021.0,Computer Vision Software Engineer,EN,PT,DK,L,50,120000.0
2021.0,Data Scientist,MI,FT,DE,M,50,52000.0
2021.0,Computer Vision Engineer,EN,PT,DK,S,50,180000.0
2021.0,Machine Learning Engineer,MI,FT,PL,L,100,180000.0
2021.0,Data Scientist,SE,FT,CA,L,100,130000.0
2021.0,Data Scientist,SE,FT,TR,L,50,180000.0
2021.0,Data Science Consultant,EN,FT,US,S,100,90000.0
2021.0,Data Analyst,SE,FT,CA,M,100,90000.0
2021.0,Data Scientist,EN,FT,US,S,100,90000.0
2021.0,Data Analyst,EN,FT,US,S,100,90000.0
2021.0,Data Engineer,MI,FT,US,L,100,90000.0
2021.0,Data Science Manager,SE,FT,US,L,100,152000.0
2021.0,Data Analyst,MI,FT,US,M,100,90000.0
2021.0,Data Engineer,MI,FT,GB,L,50,52500.0
2021.0,Research Scientist,SE,FT,CA,L,50,120500.0
2021.0,Marketing Data Engineer,EN,FT,SG,L,50,90000.0
2021.0,Director of Data Science,SE,FT,JP,S,0,168000.0
2021.0,Research Scientist,MI,FT,FR,M,50,53000.0
2021.0,Data Architect,MI,FT,US,L,100,180000.0
2021.0,Data Analyst,MI,FT,US,L,100,80000.0
2021.0,Research Scientist,MI,FT,FR,S,50,48000.0
2021.0,Data Analyst,SE,FT,CA,M,100,5711976.0
2021.0,Research Scientist,MI,FT,CZ,L,50,5569785.0
2021.0,Machine Learning Scientist,MI,FL,PK,M,50,954834.0
2021.0,Data Science Manager,SE,FT,IN,L,50,7532447.0
2021.0,Finance Data Analyst,SE,FT,GB,L,50,4925034.0
2021.0,Data Engineer,MI,FT,RO,L,0,2069205.0
2021.0,Data Scientist,MI,FT,DE,L,50,7219659.0
2021.0,Big Data Engineer,MI,FT,IN,L,0,1799146.0
2021.0,Data Scientist,MI,FT,IN,S,100,451875.0
2021.0,Machine Learning Engineer,EN,FT,US,S,50,6445130.0
2021.0,Data Scientist,MI,FT,CL,L,100,3185804.0
2021.0,Head of Data,SE,FT,SI,L,100,8182848.0
2021.0,Data Scientist,MI,FT,US,L,50,8673076.0
2021.0,Machine Learning Engineer,MI,FT,IT,L,50,4063137.0
2021.0,Data Scientist,MI,FT,MX,S,0,227489.0
2021.0,Data Analytics Engineer,SE,FT,DE,L,100,67000.0
2021.0,Staff Data Scientist,SE,CT,US,M,100,8354798.0
2021.0,Data Engineering Manager,SE,FT,US,L,100,13845093.0
2021.0,Data Engineer,MI,PT,NL,L,100,5549256.0
2021.0,Research Scientist,EN,FT,JE,L,0,7956950.0
2021.0,Machine Learning Engineer,MI,FT,JP,S,50,5888143.0
2021.0,Data Engineer,EN,FT,US,L,100,5768789.0
2021.0,Computer Vision Engineer,SE,FT,BR,M,0,1504421.0
2021.0,Data Science Consultant,EN,FT,DE,L,0,6113563.0
2021.0,Machine Learning Engineer,EN,FT,NL,S,100,6763408.0
2021.0,Data Engineer,SE,FT,RO,S,50,6113563.0
2021.0,Data Scientist,SE,FT,FR,M,50,6181277.0
2021.0,Data Scientist,EN,FT,US,M,100,7956950.0
2021.0,Data Scientist,EN,FT,US,L,50,4615031.0
2021.0,Data Science Consultant,EX,FT,FR,S,100,5549256.0
2021.0,AI Scientist,SE,FT,ES,L,100,4376323.0
2021.0,Data Scientist,SE,FT,TR,L,50,1604996.0
2021.0,Business Data Analyst,EN,FT,LU,L,100,4702717.0
2021.0,Data Engineer,MI,FT,US,L,100,8911784.0
2021.0,Data Analytics Engineer,SE,FT,VN,M,100,3978475.0
2021.0,Data Engineer,MI,FT,IR,M,100,318278.0
2021.0,Research Scientist,SE,FT,PT,L,50,4834404.0
2021.0,Principal Data Scientist,SE,FT,US,L,100,18698833.0
2021.0,Data Analyst,EN,FT,US,S,100,4774170.0
2021.0,Data Scientist,MI,FT,CA,L,100,6029299.0
2021.0,Data Scientist,MI,FT,US,M,100,11935425.0
2021.0,Director of Data Science,SE,FT,JP,S,0,13367676.0
2021.0,Cloud Data Engineer,SE,FT,BR,S,100,12731120.0
2021.0,Data Engineering Manager,SE,FT,US,L,100,12174134.0
2021.0,ML Engineer,SE,FT,US,S,100,256000.0
2021.0,Data Science Manager,SE,FT,US,L,100,174000.0
2021.0,Data Engineer,SE,FT,US,L,100,174000.0
2021.0,Data Engineer,MI,FT,US,L,100,7161255.0
2021.0,Research Scientist,MI,FT,FR,M,50,4984950.0
2021.0,Machine Learning Engineer,SE,FT,BE,M,50,6583899.0
2021.0,Data Engineer,MI,FT,US,L,100,7956950.0
2021.0,Data Scientist,MI,FT,US,S,100,6564484.0
2021.0,Data Engineering Manager,SE,FT,US,L,0,11935425.0
2021.0,Data Science Manager,SE,FT,US,L,0,19096680.0
2021.0,Data Scientist,EN,FT,UA,L,100,1066231.0
2021.0,Data Science Manager,SE,FT,US,L,100,11458008.0
2021.0,Data Science Engineer,SE,FT,CA,L,50,10122911.0
2021.0,Data Scientist,MI,FT,SG,M,100,9473465.0
2021.0,Data Engineer,MI,FT,GB,L,100,6566712.0
2021.0,Data Architect,MI,FT,US,L,100,13526815.0
2021.0,Data Architect,MI,FT,US,L,100,11935425.0
2021.0,BI Data Analyst,EN,FT,US,S,50,4376323.0
2021.0,Director of Data Science,EX,FT,US,L,0,19892375.0
2021.0,Data Engineer,EN,FT,US,L,100,6365560.0
2021.0,Applied Data Scientist,MI,FT,GB,L,50,68000.0
2021.0,Data Engineer,EN,FT,DE,M,50,5173052.0
2021.0,Data Specialist,SE,FT,US,L,100,13128968.0
2021.0,Data Science Consultant,EN,FT,DE,L,50,5079001.0
2021.0,Machine Learning Engineer,MI,FT,PL,L,100,3707700.0
2021.0,Head of Data Science,EX,FT,RU,M,0,6763408.0
2021.0,Head of Data,EX,FT,RU,L,50,18300985.0
2021.0,Machine Learning Engineer,EN,FT,US,S,100,9946188.0
2021.0,Data Analytics Manager,SE,FT,US,M,100,9548340.0
2021.0,Applied Machine Learning Scientist,MI,FT,US,L,50,33657899.0
2021.0,Director of Data Science,EX,FT,DE,M,50,10346104.0
2021.0,Data Analyst,MI,FT,US,L,100,10741883.0
2021.0,Data Engineer,MI,FT,TR,M,100,2229219.0
2021.0,Data Engineer,MI,FT,US,M,0,7411899.0
2021.0,Principal Data Scientist,EX,CT,US,S,100,33100912.0
2021.0,Research Scientist,SE,FT,FR,S,100,3978475.0
2021.0,Data Scientist,MI,FT,ES,L,100,3009716.0
2021.0,Machine Learning Infrastructure Engineer,SE,FT,US,M,100,15516053.0
2021.0,Data Scientist,MI,FT,DE,M,50,4890898.0
2021.0,Data Science Consultant,EN,FT,US,S,100,7161255.0
2021.0,Data Science Manager,SE,FT,IN,L,50,4304233.0
2021.0,Data Scientist,SE,FT,CA,S,100,6981269.0
2021.0,Machine Learning Engineer,SE,FT,IN,L,100,1936881.0
2021.0,Data Scientist,MI,FT,DE,L,50,7054154.0
2021.0,Data Scientist,SE,FT,US,L,0,10741883.0
2021.0,Big Data Engineer,EN,FT,IN,L,100,1291254.0
2021.0,ML Engineer,SE,FT,US,S,100,20369792.0
